"product_name","ingredient","classes","dose","price_krw","price_as_of","source_note"
"가드렛정100mg","Anagliptin","DPP4","0.1g","369","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가드메트정100/1000밀리그램","Anagliptin + Metformin HCl","DPP4+MET","0.1g/1g","369","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가드메트정100/500밀리그램","Anagliptin + Metformin HCl","DPP4+MET","0.1g/0.5g","369","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가드메트정100/850밀리그램","Anagliptin + Metformin HCl","DPP4+MET","0.1g/0.85g","369","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가브빌다정50밀리그램","Vildagliptin","DPP4","50mg","204","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가브스메트정50/1000밀리그램","Metformin HCl + Vildagliptin","MET+DPP4","1g/50mg","333","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가브스메트정50/500밀리그램","Metformin HCl + Vildagliptin","MET+DPP4","0.5g/50mg","310","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가브스메트정50/850밀리그램","Metformin HCl + Vildagliptin","MET+DPP4","0.85g/50mg","327","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가브스정50밀리그램","Vildagliptin","DPP4","50mg","240","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가블리메트정","Metformin HCl + Vildagliptin","MET+DPP4","0.5g/50mg","264","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"가블리정","Vildagliptin","DPP4","50mg","204","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"건메피드정2밀리그램","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"건메피드정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"건일글리메피리드정2밀리그람","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"게리드엠정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"게리드정2밀리그램","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"게리드정4밀리그램","Glimepiride","SU","4mg","259","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"게리메트정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"구루메포민정500mg","Metformin HCl","MET","0.5g","64","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"국제피오글리타존정","Pioglitazone","TZD","15mg","551","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"국제피오글리타존정30밀리그램","Pioglitazone","TZD","30mg","799","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그루리스엠정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그루리스정2밀리그램","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그루리스정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
